name,run,scenario,variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
S4,8,"PBPP3: beta(10, 10)",sigma_b0,1.3074,1.0629,1.0488,0.9591,0.0822,3.318,1.0024,1515,915
S4,8,"PBPP3: beta(10, 10)",beta0,100.6822,100.6795,0.4824,0.4774,99.8711,101.4842,1.0004,2075,971
S4,8,"PBPP3: beta(10, 10)",sigma_b,0.7985,0.7198,0.5578,0.5819,0.0643,1.8383,1.0018,1011,1039
S4,8,"PBPP3: beta(50, 20)",a0,0.2417,0.2397,0.0337,0.0328,0.1896,0.2993,1.0023,3907,1430
S4,8,"PBPP3: beta(50, 20)",sigma,3.837,3.8329,0.2608,0.2545,3.4219,4.2753,1.0017,3050,1285
S4,8,"PBPP3: beta(50, 20)",beta00,100.7561,100.775,0.8118,0.8317,99.4024,102.0932,0.9997,3415,1392
S4,8,"PBPP3: beta(50, 20)",sigma_b0,0.7437,0.6066,0.5956,0.5491,0.0495,1.9209,0.9996,1837,964
S4,8,"PBPP3: beta(50, 20)",beta0,100.6902,100.6915,0.4942,0.4744,99.8807,101.5011,1.0027,2364,1443
S4,8,"PBPP3: beta(50, 20)",sigma_b,0.8555,0.7855,0.5717,0.5723,0.0729,1.9237,1.0005,730,836
S4,9,"PBPP3: beta(1, 1)",a0,0.0052,0.0034,0.0054,0.0036,2e-04,0.0159,0.9996,2491,1070
S4,9,"PBPP3: beta(1, 1)",sigma,4.6355,4.6161,0.3335,0.3259,4.1246,5.2178,0.9999,2923,1227
S4,9,"PBPP3: beta(1, 1)",beta00,100.0963,100.033,3.1506,2.6175,95.2106,104.7834,1.0037,2922,893
S4,9,"PBPP3: beta(1, 1)",sigma_b0,2.2788,1.6705,2.1869,1.5304,0.1819,6.5627,1,2085,1239
S4,9,"PBPP3: beta(1, 1)",beta0,99.2411,99.2231,0.5246,0.4854,98.3879,100.0834,0.9998,2305,1269
S4,9,"PBPP3: beta(1, 1)",sigma_b,0.5804,0.4896,0.4499,0.4307,0.0502,1.4945,1.001,1059,1035
S4,9,"PBPP3: beta(5, 5)",a0,0.0273,0.0252,0.0125,0.0117,0.0105,0.0505,0.9997,2856,1117
S4,9,"PBPP3: beta(5, 5)",sigma,4.5883,4.5611,0.3249,0.3113,4.0909,5.1814,1.0037,3700,1559
S4,9,"PBPP3: beta(5, 5)",beta00,100.2815,100.276,2.0661,1.9644,97.0025,103.6763,1.0026,2560,1072
S4,9,"PBPP3: beta(5, 5)",sigma_b0,1.6153,1.2868,1.3371,1.1234,0.1327,4.1976,0.9997,1497,927
S4,9,"PBPP3: beta(5, 5)",beta0,99.2321,99.2322,0.487,0.4595,98.447,100.0232,0.9999,2420,1623
S4,9,"PBPP3: beta(5, 5)",sigma_b,0.5753,0.4632,0.4625,0.4135,0.0482,1.4789,0.9995,1180,899
S4,9,"PBPP3: beta(10, 10)",a0,0.0537,0.0521,0.0165,0.0166,0.03,0.0834,1.0011,3450,972
S4,9,"PBPP3: beta(10, 10)",sigma,4.5441,4.5304,0.3147,0.3111,4.0636,5.0697,1.0043,3042,1453
S4,9,"PBPP3: beta(10, 10)",beta00,100.3659,100.398,1.6248,1.559,97.7458,103.054,0.9998,3075,1245
S4,9,"PBPP3: beta(10, 10)",sigma_b0,1.4063,1.118,1.1773,1.013,0.1015,3.674,1.0021,1944,1139
S4,9,"PBPP3: beta(10, 10)",beta0,99.247,99.2498,0.4893,0.4606,98.4217,100.0371,1.0003,2867,1662
S4,9,"PBPP3: beta(10, 10)",sigma_b,0.5553,0.4648,0.4386,0.3997,0.0422,1.4056,0.9997,1160,887
